antecedent_codes,antecedent_labels,consequent_codes,consequent_labels,support,confidence,lift
CIR019 | FAC025,CIR019: Heart failure | FAC025: Other specified status,CIR008 | GEN003,CIR008: Hypertension with complications and secondary hypertension | GEN003: Chronic kidney disease,0.0644,0.5141,3.4233
CIR008 | CIR019 | FAC025,CIR008: Hypertension with complications and secondary hypertension | CIR019: Heart failure | FAC025: Other specified status,GEN003,GEN003: Chronic kidney disease,0.0644,0.5545,3.3984
END003 | FAC021,END003: Diabetes mellitus with complication | FAC021: Personal/family history of disease,CIR008 | FAC025,CIR008: Hypertension with complications and secondary hypertension | FAC025: Other specified status,0.0534,0.6674,3.3964
CIR008 | CIR019,CIR008: Hypertension with complications and secondary hypertension | CIR019: Heart failure,CIR011 | FAC025,CIR011: Coronary atherosclerosis and other heart disease | FAC025: Other specified status,0.0718,0.5306,3.3942
CIR019,CIR019: Heart failure,CIR008 | GEN003,CIR008: Hypertension with complications and secondary hypertension | GEN003: Chronic kidney disease,0.074,0.5065,3.3725
GEN002,GEN002: Acute and unspecified renal failure,END011,END011: Fluid and electrolyte disorders,0.0527,0.5165,3.3549
CIR008 | CIR019 | FAC021,CIR008: Hypertension with complications and secondary hypertension | CIR019: Heart failure | FAC021: Personal/family history of disease,CIR011,CIR011: Coronary atherosclerosis and other heart disease,0.0529,0.6351,3.3543
CIR008 | CIR019,CIR008: Hypertension with complications and secondary hypertension | CIR019: Heart failure,GEN003,GEN003: Chronic kidney disease,0.074,0.5464,3.349
CIR019 | FAC025,CIR019: Heart failure | FAC025: Other specified status,GEN003,GEN003: Chronic kidney disease,0.0672,0.5364,3.2877
CIR019,CIR019: Heart failure,CIR011 | FAC025,CIR011: Coronary atherosclerosis and other heart disease | FAC025: Other specified status,0.075,0.5138,3.2864
CIR008 | CIR019 | FAC025,CIR008: Hypertension with complications and secondary hypertension | CIR019: Heart failure | FAC025: Other specified status,CIR011,CIR011: Coronary atherosclerosis and other heart disease,0.0718,0.6188,3.2682
CIR008 | CIR019,CIR008: Hypertension with complications and secondary hypertension | CIR019: Heart failure,CIR011,CIR011: Coronary atherosclerosis and other heart disease,0.0838,0.6186,3.2669
GEN002,GEN002: Acute and unspecified renal failure,GEN003,GEN003: Chronic kidney disease,0.0544,0.5326,3.2644
CIR019 | FAC021,CIR019: Heart failure | FAC021: Personal/family history of disease,CIR011,CIR011: Coronary atherosclerosis and other heart disease,0.0549,0.6172,3.2595
CIR019,CIR019: Heart failure,GEN003,GEN003: Chronic kidney disease,0.0771,0.5278,3.2352
END003 | END010,END003: Diabetes mellitus with complication | END010: Disorders of lipid metabolism,CIR008,CIR008: Hypertension with complications and secondary hypertension,0.071,0.7574,3.1909
CIR019,CIR019: Heart failure,CIR011,CIR011: Coronary atherosclerosis and other heart disease,0.0876,0.5998,3.1677
END003,END003: Diabetes mellitus with complication,CIR008 | FAC025,CIR008: Hypertension with complications and secondary hypertension | FAC025: Other specified status,0.0888,0.6223,3.1673
BLD003 | FAC025,BLD003: Aplastic anemia | FAC025: Other specified status,GEN003,GEN003: Chronic kidney disease,0.0554,0.5164,3.1655
CIR019 | FAC025,CIR019: Heart failure | FAC025: Other specified status,CIR011,CIR011: Coronary atherosclerosis and other heart disease,0.075,0.5993,3.1654
END003 | END010 | FAC025,END003: Diabetes mellitus with complication | END010: Disorders of lipid metabolism | FAC025: Other specified status,CIR008,CIR008: Hypertension with complications and secondary hypertension,0.0634,0.7502,3.1606
CIR017 | END010,CIR017: Cardiac dysrhythmias | END010: Disorders of lipid metabolism,CIR011,CIR011: Coronary atherosclerosis and other heart disease,0.0521,0.5968,3.152
CIR008 | END010 | FAC021,CIR008: Hypertension with complications and secondary hypertension | END010: Disorders of lipid metabolism | FAC021: Personal/family history of disease,CIR011,CIR011: Coronary atherosclerosis and other heart disease,0.0525,0.5868,3.099
CIR008 | END010 | FAC025,CIR008: Hypertension with complications and secondary hypertension | END010: Disorders of lipid metabolism | FAC025: Other specified status,CIR011,CIR011: Coronary atherosclerosis and other heart disease,0.0705,0.5824,3.0758
CIR008 | END010,CIR008: Hypertension with complications and secondary hypertension | END010: Disorders of lipid metabolism,CIR011,CIR011: Coronary atherosclerosis and other heart disease,0.0828,0.5812,3.0697
CIR008 | CIR017,CIR008: Hypertension with complications and secondary hypertension | CIR017: Cardiac dysrhythmias,CIR011,CIR011: Coronary atherosclerosis and other heart disease,0.0509,0.58,3.0631
END003 | FAC021 | FAC025,END003: Diabetes mellitus with complication | FAC021: Personal/family history of disease | FAC025: Other specified status,CIR008,CIR008: Hypertension with complications and secondary hypertension,0.0534,0.7135,3.0058
CIR008 | END010 | GEN003,CIR008: Hypertension with complications and secondary hypertension | END010: Disorders of lipid metabolism | GEN003: Chronic kidney disease,CIR011,CIR011: Coronary atherosclerosis and other heart disease,0.0544,0.5663,2.9909
