antecedent_codes,antecedent_labels,consequent_codes,consequent_labels,support,confidence,lift
CIR011,CIR011: Coronary atherosclerosis and other heart disease,END010,END010: Disorders of lipid metabolism,0.134,0.7077,2.3903
CIR011 | CIR019 | FAC025,CIR011: Coronary atherosclerosis and other heart disease | CIR019: Heart failure | FAC025: Other specified status,END010,END010: Disorders of lipid metabolism,0.053,0.7057,2.3834
CIR011 | CIR019,CIR011: Coronary atherosclerosis and other heart disease | CIR019: Heart failure,END010,END010: Disorders of lipid metabolism,0.0617,0.7048,2.3803
END003 | GEN003,END003: Diabetes mellitus with complication | GEN003: Chronic kidney disease,END010,END010: Disorders of lipid metabolism,0.0575,0.7021,2.3713
END003 | FAC025 | GEN003,END003: Diabetes mellitus with complication | FAC025: Other specified status | GEN003: Chronic kidney disease,END010,END010: Disorders of lipid metabolism,0.0513,0.696,2.3507
CIR008 | FAC021 | GEN003,CIR008: Hypertension with complications and secondary hypertension | FAC021: Personal/family history of disease | GEN003: Chronic kidney disease,END010 | FAC025,END010: Disorders of lipid metabolism | FAC025: Other specified status,0.0518,0.5506,2.3349
CIR008 | FAC021,CIR008: Hypertension with complications and secondary hypertension | FAC021: Personal/family history of disease,END010 | FAC025,END010: Disorders of lipid metabolism | FAC025: Other specified status,0.0776,0.5475,2.3218
CIR008 | GEN003,CIR008: Hypertension with complications and secondary hypertension | GEN003: Chronic kidney disease,END010 | FAC025,END010: Disorders of lipid metabolism | FAC025: Other specified status,0.0821,0.5467,2.3185
END003 | FAC021 | FAC025,END003: Diabetes mellitus with complication | FAC021: Personal/family history of disease | FAC025: Other specified status,END010,END010: Disorders of lipid metabolism,0.0509,0.6806,2.2986
CIR008 | CIR019,CIR008: Hypertension with complications and secondary hypertension | CIR019: Heart failure,END010 | FAC025,END010: Disorders of lipid metabolism | FAC025: Other specified status,0.0733,0.5415,2.2965
END003 | FAC021,END003: Diabetes mellitus with complication | FAC021: Personal/family history of disease,END010,END010: Disorders of lipid metabolism,0.0539,0.6745,2.2782
CIR008 | END009,CIR008: Hypertension with complications and secondary hypertension | END009: Obesity,END010,END010: Disorders of lipid metabolism,0.0521,0.6745,2.278
END009 | END010,END009: Obesity | END010: Disorders of lipid metabolism,CIR008,CIR008: Hypertension with complications and secondary hypertension,0.0521,0.5387,2.2692
END010 | FAC021 | FAC025,END010: Disorders of lipid metabolism | FAC021: Personal/family history of disease | FAC025: Other specified status,CIR008,CIR008: Hypertension with complications and secondary hypertension,0.0776,0.5285,2.2265
END003,END003: Diabetes mellitus with complication,END010,END010: Disorders of lipid metabolism,0.0938,0.6575,2.2205
END003 | FAC025,END003: Diabetes mellitus with complication | FAC025: Other specified status,END010,END010: Disorders of lipid metabolism,0.0845,0.6558,2.215
FAC021 | GEN003,FAC021: Personal/family history of disease | GEN003: Chronic kidney disease,END010 | FAC025,END010: Disorders of lipid metabolism | FAC025: Other specified status,0.0535,0.522,2.2137
CIR008 | CIR019 | FAC021,CIR008: Hypertension with complications and secondary hypertension | CIR019: Heart failure | FAC021: Personal/family history of disease,END010,END010: Disorders of lipid metabolism,0.0545,0.6548,2.2116
CIR019,CIR019: Heart failure,END010 | FAC025,END010: Disorders of lipid metabolism | FAC025: Other specified status,0.0759,0.5194,2.2025
